comuna,jara,izquierda,diff_izq
ANTOFAGASTA,60507.0,118959.0,-58452.0
ARICA,33637.0,69232.0,-35595.0
COQUIMBO,43988.0,74578.0,-30590.0
PUERTO MONTT,38876.0,64612.0,-25736.0
CURICO,27444.0,49725.0,-22281.0
RANCAGUA,46473.0,66507.0,-20034.0
SAN BERNARDO,59193.0,78734.0,-19541.0
CONCEPCION,46519.0,65467.0,-18948.0
MAIPU,127827.0,145094.0,-17267.0
LOS ANGELES,22426.0,39590.0,-17164.0
COPIAPO,27744.0,43457.0,-15713.0
TEMUCO,45398.0,60992.0,-15594.0
VALLENAR,9796.0,25207.0,-15411.0
LAS CONDES,28626.0,43747.0,-15121.0
ÑUÑOA,65386.0,80280.0,-14894.0
IQUIQUE,31793.0,46266.0,-14473.0
OSORNO,30044.0,43663.0,-13619.0
PROVIDENCIA,34048.0,47556.0,-13508.0
MOLINA,9199.0,22586.0,-13387.0
VIÑA DEL MAR,72484.0,85109.0,-12625.0
